p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
MT1X	3.51716299737649e-18	0.457127894964209	0.462	0.253	8.58926375589313e-14	COPD	MT1X
MCAM	1.37953936657941e-17	0.552430256505528	0.266	0.096	3.36897308712357e-13	COPD	MCAM
MTRNR2L8	1.43130041320842e-17	0.305888253666395	0.38	0.189	3.49537873909627e-13	COPD	MTRNR2L8
RGS2	1.95087669560041e-17	0.641011802013613	0.624	0.443	4.76423597832577e-13	COPD	RGS2
CCL2	4.23741345700481e-17	0.499231639655903	0.363	0.163	1.03481874033514e-12	COPD	CCL2
TSC22D1	7.00028615089432e-17	0.334630965863083	0.642	0.434	1.7095398809099e-12	COPD	TSC22D1
SMIM3	1.44261525246138e-16	0.212490089351801	0.282	0.109	3.52301070803595e-12	COPD	SMIM3
PDK4	1.62507872297912e-16	0.564218683452469	0.684	0.574	3.9686047493873e-12	COPD	PDK4
MTRNR2L12	3.72524601066603e-16	0.424766270912194	0.743	0.61	9.09742328264751e-12	COPD	MTRNR2L12
C11orf96	6.31962440723649e-16	0.499524937679861	0.607	0.429	1.54331547649122e-11	COPD	C11orf96
TSC22D3	6.82864308224073e-16	0.391059128075278	0.859	0.802	1.66762292711401e-11	COPD	TSC22D3
TPM2	7.51017112595495e-16	0.376479972682505	0.372	0.186	1.83405889066946e-11	COPD	TPM2
ZFP36	1.27563809967464e-15	0.249367248644027	0.961	0.884	3.11523580321543e-11	COPD	ZFP36
MYL9	1.41057612656196e-15	0.532550287481641	0.54	0.356	3.44476795867695e-11	COPD	MYL9
DUSP1	1.62290316877183e-15	0.237346783633731	0.961	0.874	3.9632918284577e-11	COPD	DUSP1
CRIM1	3.42985216366645e-15	0.360587001071763	0.521	0.324	8.37604196888985e-11	COPD	CRIM1
C2orf40	3.57897704774042e-15	0.306081940759047	0.33	0.16	8.74021984828688e-11	COPD	C2orf40
PTMA	3.65173673811876e-15	0.328110587163909	0.97	0.956	8.91790628815982e-11	COPD	PTMA
MT1M	7.05525595694558e-15	0.399684855828589	0.355	0.179	1.72296405724568e-10	COPD	MT1M
PPP1R14A	7.55808206996511e-15	0.232771444475668	0.255	0.101	1.84575922230618e-10	COPD	PPP1R14A
LAMB1	1.32359126475823e-14	0.340315029668701	0.44	0.25	3.23234222766608e-10	COPD	LAMB1
TMSB4X	2.41719389427412e-14	0.269053172925484	1	0.997	5.90302920920683e-10	COPD	TMSB4X
NFKBIA	2.50031002533985e-14	0.268648644264994	0.944	0.87	6.10600711288245e-10	COPD	NFKBIA
RHOB	2.93077410616957e-14	0.326168386461339	0.947	0.891	7.15724344467669e-10	COPD	RHOB
MIR22HG	3.76479611788094e-14	0.184514720078955	0.297	0.133	9.19400859947703e-10	COPD	MIR22HG
NR4A2	5.40872540205179e-14	0.239666689763356	0.432	0.242	1.32086483043507e-09	COPD	NR4A2
FKBP5	2.84291922195561e-13	0.329019830022248	0.435	0.273	6.9426930319378e-09	COPD	FKBP5
EZR	3.5977332973288e-13	0.360694640750874	0.696	0.577	8.78602448540665e-09	COPD	EZR
ELL2	3.75443565862388e-13	0.255196349148411	0.307	0.152	9.16870732192538e-09	COPD	ELL2
PNRC1	6.41358259323497e-13	0.322655479874263	0.828	0.736	1.56626100509391e-08	COPD	PNRC1
JADE1	1.66043971174638e-12	0.252571788535768	0.383	0.222	4.05495982005583e-08	COPD	JADE1
NAMPT	2.00235672834508e-12	0.324542597398323	0.656	0.496	4.88995536629152e-08	COPD	NAMPT
CAV2	3.02932537765174e-12	0.208246659075972	0.271	0.128	7.39791550476332e-08	COPD	CAV2
CALD1	3.58012395040661e-12	0.351151646400447	0.85	0.751	8.74302069928797e-08	COPD	CALD1
ACTN4	7.3937864041458e-12	0.445074982699098	0.603	0.47	1.80563657775645e-07	COPD	ACTN4
NOTCH3	1.17945702694642e-11	0.513265643295646	0.29	0.155	2.88035200550585e-07	COPD	NOTCH3
SGK1	1.23504754738763e-11	0.246595779944724	0.277	0.135	3.01610961547534e-07	COPD	SGK1
JUNB	1.99309521443307e-11	0.176588984590939	0.97	0.902	4.867337823167e-07	COPD	JUNB
COL4A1	2.17323141121089e-11	0.281472135610808	0.321	0.174	5.30724842931812e-07	COPD	COL4A1
MCL1	2.39229467085427e-11	0.226476924246249	0.858	0.775	5.84222281569321e-07	COPD	MCL1
CNN2	3.99082065567679e-11	0.189294843453612	0.388	0.221	9.74598312322828e-07	COPD	CNN2
ITGA1	5.55575984148474e-11	0.268849763178851	0.393	0.236	1.35677211088899e-06	COPD	ITGA1
ZNF331	7.63690716066472e-11	0.264996639889497	0.322	0.177	1.86500909770593e-06	COPD	ZNF331
DDIT4	9.43628046652838e-11	0.254103300543582	0.397	0.24	2.3044340527309e-06	COPD	DDIT4
VCL	1.34483976194641e-10	0.252227096100855	0.499	0.335	3.28423318264932e-06	COPD	VCL
IFITM3	3.155944187444e-10	0.251485034953141	0.79	0.681	7.70713130015698e-06	COPD	IFITM3
RGCC	3.25258343219542e-10	0.451646496534511	0.679	0.563	7.94313399976444e-06	COPD	RGCC
GPM6B	4.87067889710945e-10	0.180687637378676	0.254	0.124	1.1894684934631e-05	COPD	GPM6B
ID1	5.61407889452253e-10	0.229826889027338	0.374	0.227	1.37101420683135e-05	COPD	ID1
UQCRB	5.65283609083611e-10	0.188948580726684	0.753	0.63	1.38047910174309e-05	COPD	UQCRB
NET1	6.50514892787544e-10	0.214656937436891	0.31	0.176	1.58862241967646e-05	COPD	NET1
PTEN	8.45889726053429e-10	0.237299414186651	0.421	0.283	2.06574729999508e-05	COPD	PTEN
FOS	9.28465780771361e-10	0.18220502139434	0.987	0.939	2.26740628322174e-05	COPD	FOS
KLF9	1.34144809580363e-09	0.209369734540972	0.726	0.585	3.27595039476205e-05	COPD	KLF9
FLNA	1.34802687045129e-09	0.393100309833194	0.704	0.588	3.2920164203291e-05	COPD	FLNA
CCND1	1.46312580719745e-09	0.169569586803494	0.254	0.13	3.57309953375689e-05	COPD	CCND1
EGR1	1.47436961858241e-09	0.194318674808361	0.925	0.843	3.6005580455401e-05	COPD	EGR1
CAV1	1.56251016439126e-09	0.426496330494629	0.592	0.487	3.8158060724599e-05	COPD	CAV1
SOD2	1.94308577205138e-09	0.272439376258088	0.548	0.398	4.74520976392668e-05	COPD	SOD2
MAP1B	2.60760840022871e-09	0.254430199642958	0.383	0.246	6.36804047419852e-05	COPD	MAP1B
TSPYL2	2.8265892313324e-09	0.236922732515873	0.468	0.323	6.90281356183685e-05	COPD	TSPYL2
RPL36AL	2.84981136887616e-09	0.177884944961103	0.468	0.316	6.95952434393246e-05	COPD	RPL36AL
HSPB1	3.50673513704134e-09	0.197183661001517	0.844	0.73	8.56379787816865e-05	COPD	HSPB1
LPP	3.5383184746181e-09	0.3362535693558	0.471	0.338	8.64092754686487e-05	COPD	LPP
BGN	4.34088220617905e-09	0.464345613449457	0.642	0.54	0.000106008684357099	COPD	BGN
MT1A	5.46906547369534e-09	0.312939567126147	0.286	0.162	0.000133560047933114	COPD	MT1A
EPAS1	6.84200986188497e-09	0.311401166805803	0.444	0.309	0.000167088722837093	COPD	EPAS1
PPP1R12B	6.96603782021111e-09	0.209627589031889	0.399	0.259	0.000170117609607376	COPD	PPP1R12B
RAN	6.98630001549495e-09	0.164952205734478	0.523	0.372	0.000170612432678402	COPD	RAN
PPP1CB	8.42974654774789e-09	0.255753493803927	0.495	0.374	0.000205862840442551	COPD	PPP1CB
THBS1	9.91286346708144e-09	0.494337282629465	0.457	0.327	0.000242082038729596	COPD	THBS1
NNMT	1.28965624747949e-08	0.256775693055618	0.477	0.348	0.000314946952196966	COPD	NNMT
NAP1L1	1.85551481818612e-08	0.185754402051216	0.856	0.761	0.000453135273749232	COPD	NAP1L1
LBH	2.40390150828216e-08	0.148698969645094	0.466	0.312	0.000587056787337587	COPD	LBH
NDUFA4	2.40766642333059e-08	0.195001950248086	0.599	0.47	0.000587976217241562	COPD	NDUFA4
HLA-DRB5	2.86473674604168e-08	0.252009552393011	0.363	0.244	0.000699597360750839	COPD	HLA-DRB5
EEF1B2	3.9996056931863e-08	0.18236766330271	0.72	0.606	0.000976743706333027	COPD	EEF1B2
TCEAL9	4.1341555991698e-08	0.138283958652317	0.46	0.306	0.00100960213887326	COPD	TCEAL9
KLF6	4.38945624757375e-08	0.310435611042242	0.818	0.797	0.00107194911021999	COPD	KLF6
PDLIM3	4.92934702723927e-08	0.200831832445049	0.474	0.35	0.0012037958375221	COPD	PDLIM3
PPP2CA	6.07141667473918e-08	0.139662547561242	0.258	0.144	0.00148270066613806	COPD	PPP2CA
SET	6.1211437017428e-08	0.127645560447261	0.656	0.49	0.00149484450340261	COPD	SET
HLA-C	8.21929813015817e-08	0.140526159485935	0.919	0.918	0.00200723479636593	COPD	HLA-C
NPM1	9.04943083731295e-08	0.161064437276884	0.839	0.766	0.0022099615047802	COPD	NPM1
EIF4G2	1.17754386141016e-07	0.14600454943978	0.911	0.865	0.00287567986394974	COPD	EIF4G2
CNN3	1.3923005973608e-07	0.196220494929453	0.624	0.508	0.00340013728881482	COPD	CNN3
RPL30	1.51979966096947e-07	0.190233569079588	0.981	0.971	0.00371150275205354	COPD	RPL30
EEF1A1	1.5617472137161e-07	0.166695828510889	1	1	0.00381394287061609	COPD	EEF1A1
COL4A2	1.85412024448573e-07	0.283877314328077	0.333	0.218	0.00452794704905861	COPD	COL4A2
RPS27A	1.93838891056008e-07	0.176754036905686	0.973	0.949	0.00473373955847877	COPD	RPS27A
CDC42SE1	2.02210566518374e-07	0.120324752820543	0.279	0.162	0.00493818424494521	COPD	CDC42SE1
COL8A1	2.1889923792847e-07	0.217438580398768	0.274	0.163	0.00534573828945116	COPD	COL8A1
MRPL33	2.21496177461458e-07	0.125504232005918	0.324	0.202	0.00540915814978627	COPD	MRPL33
SPRY2	2.25757383470808e-07	0.142638345033403	0.279	0.167	0.00551322106174061	COPD	SPRY2
ARID5B	2.55545546169864e-07	0.192014460687131	0.423	0.299	0.00624067778301426	COPD	ARID5B
PRDX6	2.66343509048131e-07	0.159998524899027	0.457	0.33	0.0065043748344644	COPD	PRDX6
NUDT4	2.71691671996499e-07	0.143159829537743	0.272	0.163	0.0066349823218265	COPD	NUDT4
TBCA	3.35763423207139e-07	0.12646422540143	0.374	0.246	0.00819967855814154	COPD	TBCA
ID4	3.61397534062971e-07	0.180872866964352	0.347	0.234	0.00882568917935182	COPD	ID4
RPL23	3.65733559500623e-07	0.170009932276521	0.995	0.981	0.00893157925656472	COPD	RPL23
FOXO3	3.74441168525445e-07	0.200178918256238	0.545	0.417	0.00914422777655988	COPD	FOXO3
DKK3	3.85891311521621e-07	0.228582314768492	0.362	0.254	0.00942385171866951	COPD	DKK3
MYO1B	4.05287969251864e-07	0.174748965274466	0.261	0.152	0.00989753749709978	COPD	MYO1B
RND3	4.1497377184098e-07	0.1971892443965	0.433	0.304	0.0101340744821286	COPD	RND3
RPS13	4.24990190910605e-07	0.196400047227847	0.958	0.946	0.0103786854522279	COPD	RPS13
LDHA	4.3493257305545e-07	0.172003413077659	0.52	0.383	0.0106214883665872	COPD	LDHA
ANP32B	6.92415325449041e-07	0.154775104413738	0.615	0.486	0.016909474662791	COPD	ANP32B
JUN	7.08792248273801e-07	0.160596899429613	0.972	0.948	0.0173094154950945	COPD	JUN
ANO6	7.19500521287994e-07	0.152730427699355	0.46	0.331	0.0175709222303741	COPD	ANO6
C1orf198	7.47863018313916e-07	0.133000572782351	0.277	0.17	0.0182635627702441	COPD	C1orf198
MAFF	8.19670308054674e-07	0.170162170587125	0.313	0.205	0.0200171685930032	COPD	MAFF
CAPN2	8.61458817560957e-07	0.109952374573985	0.3	0.188	0.0210376857836561	COPD	CAPN2
COL18A1	1.12482614288891e-06	0.169362201931767	0.272	0.174	0.02746937923549	COPD	COL18A1
SRF	1.15092388808658e-06	0.122550729160553	0.254	0.152	0.0281067122709623	COPD	SRF
HLA-A	1.17687508493362e-06	0.159194364547889	0.97	0.966	0.028740466449164	COPD	HLA-A
RPS29	1.23298657993165e-06	0.28333687973021	0.995	0.984	0.0301107652685107	COPD	RPS29
IGFBP7	1.32960490400402e-06	0.273370038274211	0.798	0.821	0.0324702813606822	COPD	IGFBP7
RPL37A	1.41069438900589e-06	0.208018963765716	0.992	0.995	0.0344505676739129	COPD	RPL37A
CCNL1	1.53084734137679e-06	0.239706953085489	0.638	0.557	0.0373848229237625	COPD	CCNL1
MYC	1.63772709459235e-06	0.143983894285611	0.396	0.27	0.0399949333770398	COPD	MYC
ANGPT1	1.76283656052114e-06	0.127570488190179	0.336	0.222	0.0430502316444868	COPD	ANGPT1
ST13	1.83265151651422e-06	0.150867199561561	0.571	0.446	0.0447551826847938	COPD	ST13
RPS6	1.94748510047873e-06	0.226799838010378	0.989	0.995	0.0475595336387911	COPD	RPS6
CDKN1A	1.95513320352527e-06	0.13511063086563	0.64	0.491	0.0477463079632905	COPD	CDKN1A
PDLIM5	2.16323965990819e-06	0.159734649846882	0.43	0.309	0.0528284757346178	COPD	PDLIM5
UBA2	2.29729317615077e-06	0.108047202378633	0.269	0.167	0.056102196654778	COPD	UBA2
CYSTM1	2.80064041618503e-06	0.240458655423365	0.304	0.207	0.0683944396036545	COPD	CYSTM1
PKIG	2.87181807241002e-06	0.109088326887043	0.335	0.22	0.0701326691463252	COPD	PKIG
VGLL3	2.93084178067493e-06	0.158340628909865	0.407	0.294	0.0715740871258625	COPD	VGLL3
RPS9	3.437565802329e-06	0.153106389628378	0.818	0.778	0.0839487944586765	COPD	RPS9
HCFC1R1	3.45373495937961e-06	0.108887088985793	0.349	0.234	0.0843436614430094	COPD	HCFC1R1
TIPARP	3.47844190344192e-06	0.177037455375641	0.387	0.275	0.0849470297239551	COPD	TIPARP
MYH10	3.74090701512432e-06	0.142716857255906	0.62	0.491	0.091356690216351	COPD	MYH10
OAZ2	3.78730100078643e-06	0.106166190932356	0.319	0.207	0.0924896777402054	COPD	OAZ2
MAP3K20	4.13665624895788e-06	0.231115269585723	0.482	0.383	0.1010212822558	COPD	MAP3K20
TLE1	4.41000749018998e-06	0.121008577707576	0.266	0.168	0.10769679291793	COPD	TLE1
RPL41	4.85939056750259e-06	0.221825426915504	0.958	0.942	0.118671177048981	COPD	RPL41
RPS7	4.98753916329053e-06	0.156493148623429	0.856	0.801	0.121800693906718	COPD	RPS7
PABPC1	5.64963443122992e-06	0.133152499116736	0.942	0.924	0.137969722445066	COPD	PABPC1
ZFP36L1	6.67436502574092e-06	0.20742550096518	0.928	0.895	0.162994668293619	COPD	ZFP36L1
STAT3	6.78247327369419e-06	0.152248097364424	0.387	0.277	0.165634779816886	COPD	STAT3
IL6	7.14299011583643e-06	0.476410955290343	0.257	0.167	0.174438961618842	COPD	IL6
C1QTNF1	7.78248283141772e-06	0.10187604726821	0.264	0.167	0.190056013226052	COPD	C1QTNF1
SRP14	8.89573303736545e-06	0.113958434884876	0.48	0.347	0.217242696505502	COPD	SRP14
SBDS	9.24121899277147e-06	0.140855792184068	0.567	0.447	0.225679809022472	COPD	SBDS
FOSL2	9.28005573705417e-06	0.103147286338715	0.496	0.36	0.2266282411546	COPD	FOSL2
MGLL	9.66139925795323e-06	0.160153034936969	0.285	0.189	0.235941031278476	COPD	MGLL
NDUFA1	1.01918993267468e-05	0.126329178229248	0.546	0.431	0.248896373458484	COPD	NDUFA1
TCEAL4	1.29287588231813e-05	0.137189438958967	0.513	0.393	0.315733219220911	COPD	TCEAL4
MYH9	1.35468433031825e-05	0.269015220210517	0.609	0.511	0.330827460307019	COPD	MYH9
SYPL1	1.63556320726611e-05	0.114522821601713	0.33	0.231	0.399420890846456	COPD	SYPL1
IFI6	1.67888756538352e-05	0.213960800966036	0.521	0.428	0.41000113234231	COPD	IFI6
BTF3	1.69244435563787e-05	0.122819433265917	0.775	0.698	0.413311836090325	COPD	BTF3
CLIC4	1.7240858310427e-05	0.124891455464763	0.43	0.321	0.421039000798939	COPD	CLIC4
EIF3E	1.78547220940088e-05	0.125709451420395	0.563	0.452	0.436030168257788	COPD	EIF3E
PLS3	1.85840055130078e-05	0.141558502841347	0.549	0.444	0.453839998633164	COPD	PLS3
MYL6	2.08370022196609e-05	0.171512991435043	0.942	0.915	0.508860431206339	COPD	MYL6
TCF21	2.18450792041237e-05	0.294929239876675	0.407	0.323	0.533478679243906	COPD	TCF21
ABCC9	2.48717515595372e-05	0.11963000363361	0.307	0.21	0.607393044835459	COPD	ABCC9
MRFAP1	2.53598917084751e-05	0.137517706706563	0.516	0.412	0.619313915412671	COPD	MRFAP1
RPL27	2.7092082904097e-05	0.125183350077017	0.858	0.813	0.661615756600953	COPD	RPL27
UBL5	2.99849394863214e-05	0.112735806080974	0.297	0.203	0.732262207195456	COPD	UBL5
HDGF	3.19918570226406e-05	0.123222731477259	0.382	0.274	0.781273140349906	COPD	HDGF
CITED2	3.36912551605421e-05	0.145058876431506	0.642	0.542	0.822774142275599	COPD	CITED2
PARVA	3.37964846689808e-05	0.109196226397988	0.383	0.282	0.825343952101181	COPD	PARVA
TRA2B	3.51047841362003e-05	0.155835050895703	0.657	0.582	0.857293933390148	COPD	TRA2B
BEX3	3.85387105835928e-05	0.126642910502919	0.477	0.366	0.941153851161919	COPD	BEX3
CCND2	4.03337837890104e-05	0.129921588585162	0.382	0.28	0.984991333911424	COPD	CCND2
ERAP2	4.67040804364749e-05	0.104308880268026	0.272	0.182	1	COPD	ERAP2
RPS27L	4.68060149774328e-05	0.134685391478382	0.388	0.289	1	COPD	RPS27L
IRS2	4.70432383572775e-05	0.199873141252654	0.476	0.394	1	COPD	IRS2
LMCD1	4.75541562186727e-05	0.137593589277296	0.315	0.217	1	COPD	LMCD1
COX7A2L	5.09875052104336e-05	0.106155292878204	0.269	0.181	1	COPD	COX7A2L
ITM2C	5.18794976966301e-05	0.189620859275566	0.294	0.208	1	COPD	ITM2C
MYL12A	5.34674339961516e-05	0.123237030162495	0.61	0.515	1	COPD	MYL12A
GLS	5.48265897413318e-05	0.112135781554929	0.279	0.189	1	COPD	GLS
IFITM2	6.23929792596134e-05	0.154299488135337	0.764	0.686	1	COPD	IFITM2
TPT1	6.34737099788182e-05	0.242929543473189	0.998	0.999	1	COPD	TPT1
GHITM	6.63736115283812e-05	0.112939413057566	0.355	0.259	1	COPD	GHITM
HINT1	6.66852026532135e-05	0.13945571055528	0.57	0.477	1	COPD	HINT1
LTBP2	6.7613180770469e-05	0.308941597488971	0.521	0.462	1	COPD	LTBP2
SEPT11	8.02539132688515e-05	0.169799550198516	0.443	0.36	1	COPD	SEPT11
SYNPO	8.27723833532257e-05	0.105043184547747	0.274	0.184	1	COPD	SYNPO
MT-CO3	8.53292527299485e-05	0.112880815964173	1	1	1	COPD	MT-CO3
RBPMS	8.99289610369902e-05	0.182167615906951	0.418	0.333	1	COPD	RBPMS
ATF3	9.06759930301914e-05	0.191300005938788	0.685	0.582	1	COPD	ATF3
RPS8	9.4925225378995e-05	0.180219066906803	0.992	0.995	1	COPD	RPS8
ITGB5	0.000105098152368716	0.11344232812774	0.448	0.343	1	COPD	ITGB5
ADIRF	0.000119642238829756	0.165677073940323	0.416	0.33	1	COPD	ADIRF
PPP1R15A	0.000123713696715431	0.140711009197424	0.861	0.812	1	COPD	PPP1R15A
TRIM56	0.000131803438440673	0.102995073517742	0.299	0.207	1	COPD	TRIM56
ILK	0.00013978167179545	0.101212303379106	0.313	0.225	1	COPD	ILK
RBM3	0.00015282997189662	0.119346757632566	0.531	0.428	1	COPD	RBM3
CSRP1	0.000157424891651003	0.122871290870134	0.484	0.381	1	COPD	CSRP1
DDX24	0.000162237755744016	0.121626146441024	0.412	0.313	1	COPD	DDX24
RPS24	0.000171912249217492	0.16621972765979	0.977	0.971	1	COPD	RPS24
TACC1	0.000194823762240706	0.195744837733093	0.718	0.664	1	COPD	TACC1
ATP2A2	0.000195849320442577	0.138031129290828	0.362	0.27	1	COPD	ATP2A2
AEBP1	0.000215607128955378	0.149536981929114	0.526	0.443	1	COPD	AEBP1
MT-ATP8	0.000220947509090407	0.146186479512425	0.989	0.975	1	COPD	MT-ATP8
DDX3X	0.00023791891762679	0.102251276801314	0.662	0.569	1	COPD	DDX3X
CRYAB	0.000255315943845081	0.176100210438072	0.313	0.231	1	COPD	CRYAB
IER3	0.000263608463131065	0.104039008053751	0.624	0.556	1	COPD	IER3
CAVIN1	0.000342796000811736	0.126578609159061	0.798	0.726	1	COPD	CAVIN1
RPL35	0.000378618916009428	0.138177707921743	0.576	0.5	1	COPD	RPL35
DEPP1	0.000421017983888779	0.277037960434441	0.358	0.279	1	COPD	DEPP1
SPATS2L	0.000424044875204572	0.119095890047524	0.385	0.293	1	COPD	SPATS2L
ROCK2	0.000431667187164614	0.118882253482386	0.424	0.328	1	COPD	ROCK2
ZFHX3	0.000441865054839293	0.161158868145553	0.341	0.265	1	COPD	ZFHX3
TCEAL3	0.000500954981165954	0.104276920664961	0.285	0.206	1	COPD	TCEAL3
RPL28	0.000568153846703857	0.107071726756954	0.609	0.537	1	COPD	RPL28
RPL5	0.000569700317809794	0.115609211753441	0.95	0.934	1	COPD	RPL5
AOC3	0.000572050554348353	0.172419583593999	0.56	0.489	1	COPD	AOC3
CRIP2	0.000606500995088931	0.136844470110545	0.388	0.307	1	COPD	CRIP2
RPL3	0.000675733842366897	0.107444236639277	0.958	0.971	1	COPD	RPL3
TNFAIP3	0.000735371855449642	0.170351085714788	0.426	0.362	1	COPD	TNFAIP3
COX4I1	0.00079477344953249	0.119420015022438	0.531	0.457	1	COPD	COX4I1
AMOTL2	0.000828437933050218	0.110950681875091	0.387	0.308	1	COPD	AMOTL2
CPED1	0.000839852830494414	0.130151928739956	0.34	0.265	1	COPD	CPED1
TGM2	0.000849544477965721	0.161974315386647	0.573	0.473	1	COPD	TGM2
TOB1	0.000855666272281796	0.151054015930954	0.424	0.346	1	COPD	TOB1
RPLP1	0.00102129193948041	0.115085826467712	0.917	0.913	1	COPD	RPLP1
MYADM	0.00106454589674134	0.136534789061682	0.858	0.794	1	COPD	MYADM
RPL10A	0.00117174865364498	0.101107477209022	0.934	0.909	1	COPD	RPL10A
CALM2	0.00129310182417562	0.106879160335102	0.822	0.761	1	COPD	CALM2
RPL10	0.00135718746018351	0.107987413983543	0.873	0.856	1	COPD	RPL10
VMP1	0.00142377644579794	0.10824765398498	0.261	0.187	1	COPD	VMP1
RPL32	0.00156557331827621	0.137914750599387	0.98	0.972	1	COPD	RPL32
ANXA6	0.00170695771983994	0.109571184797691	0.415	0.341	1	COPD	ANXA6
RPL9	0.00175562628257478	0.102701354794326	0.972	0.953	1	COPD	RPL9
FAM129A	0.00178456092397844	0.177569868774555	0.297	0.231	1	COPD	FAM129A
CAMK2N1	0.00187820533518047	0.199855142189552	0.585	0.535	1	COPD	CAMK2N1
MYLIP	0.00200762919164531	0.105358085196367	0.326	0.25	1	COPD	MYLIP
C7	0.00210922557464483	0.217413558696475	0.459	0.588	1	COPD	C7
RPL31	0.00214410116381991	0.139631801755334	0.994	0.984	1	COPD	RPL31
ITGA8	0.00228758205068974	0.203054196684374	0.304	0.236	1	COPD	ITGA8
VAMP2	0.00229586567483778	0.118732695593007	0.56	0.496	1	COPD	VAMP2
RPS4X	0.00281494026862639	0.105538081665932	0.937	0.924	1	COPD	RPS4X
RPL13	0.00305118800867296	0.101096116871369	0.903	0.9	1	COPD	RPL13
TPM4	0.00315506189274662	0.133506996529523	0.618	0.561	1	COPD	TPM4
RPS12	0.00338662040779571	0.17192277007988	0.973	0.966	1	COPD	RPS12
RPL23A	0.00342675945241195	0.135726745680882	0.618	0.557	1	COPD	RPL23A
RPL4	0.0039368341725001	0.108255768335829	0.851	0.812	1	COPD	RPL4
RPL13A	0.00401236517534627	0.11942162380931	0.966	0.953	1	COPD	RPL13A
STOM	0.00424419804119964	0.160485086294691	0.534	0.473	1	COPD	STOM
PALLD	0.00453647964994466	0.175791942456937	0.668	0.659	1	COPD	PALLD
CD82	0.0051708721873806	0.114423626858499	0.332	0.259	1	COPD	CD82
AL136454.1	0.00546366102359594	0.103448357423156	0.937	0.915	1	COPD	AL136454.1
PDLIM7	0.00563457777602457	0.121282866659433	0.255	0.201	1	COPD	PDLIM7
CDH11	0.00604115992305891	0.126490708241875	0.365	0.303	1	COPD	CDH11
PDGFRB	0.00705318990980574	0.115296529333543	0.385	0.328	1	COPD	PDGFRB
ITGB1	0.00712287225720736	0.162388508891134	0.732	0.701	1	COPD	ITGB1
EIF4A3	0.00748560287389272	0.129378019734683	0.527	0.47	1	COPD	EIF4A3
HLA-DRB1	0.00844321280310349	0.184954045571351	0.649	0.6	1	COPD	HLA-DRB1
