	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
CD163	0	0.76516297699088	0.75	0.11	0	Alveolar macrophages	CD163
S100A10	0	0.759823171274661	0.966	0.562	0	Alveolar macrophages	S100A10
SLC15A3	0	0.757356890078305	0.768	0.11	0	Alveolar macrophages	SLC15A3
PLBD1	0	0.754079669435902	0.736	0.076	0	Alveolar macrophages	PLBD1
SLC7A7	0	0.752709750963038	0.792	0.094	0	Alveolar macrophages	SLC7A7
LY6E	0	0.751701512196247	0.819	0.248	0	Alveolar macrophages	LY6E
SH3BGRL3	0	0.75029203663855	0.991	0.698	0	Alveolar macrophages	SH3BGRL3
LIPA	0	0.744539177581126	0.602	0.165	0	Alveolar macrophages	LIPA
TFRC	0	0.74433366493811	0.747	0.296	0	Alveolar macrophages	TFRC
NCF2	0	0.741786192226185	0.813	0.103	0	Alveolar macrophages	NCF2
C1orf162	0	0.739977175243988	0.858	0.184	0	Alveolar macrophages	C1orf162
TUBA1B	0	0.734240045992234	0.991	0.858	0	Alveolar macrophages	TUBA1B
SDCBP	0	0.731788993566408	0.989	0.719	0	Alveolar macrophages	SDCBP
PPARG	0	0.730124542186264	0.705	0.033	0	Alveolar macrophages	PPARG
MGST3	0	0.726563065715687	0.915	0.416	0	Alveolar macrophages	MGST3
AIF1	0	0.726397043681392	0.827	0.163	0	Alveolar macrophages	AIF1
HLA-C	0	0.723996521202221	0.993	0.91	0	Alveolar macrophages	HLA-C
LRP1	0	0.71875979504852	0.789	0.124	0	Alveolar macrophages	LRP1
BHLHE41	0	0.715304970454543	0.644	0.059	0	Alveolar macrophages	BHLHE41
GRINA	0	0.714108443780389	0.856	0.21	0	Alveolar macrophages	GRINA
CCDC88A	0	0.705743549057175	0.794	0.165	0	Alveolar macrophages	CCDC88A
LGALS9	0	0.704494359178766	0.784	0.13	0	Alveolar macrophages	LGALS9
SECTM1	0	0.704255187511983	0.578	0.078	0	Alveolar macrophages	SECTM1
HBEGF	0	0.694332467847651	0.823	0.407	0	Alveolar macrophages	HBEGF
ATP6AP1	0	0.693135349141617	0.918	0.376	0	Alveolar macrophages	ATP6AP1
DAB2	0	0.69259186576962	0.775	0.138	0	Alveolar macrophages	DAB2
CD81	0	0.688731427461374	0.983	0.77	0	Alveolar macrophages	CD81
S100A6	0	0.688058798774907	0.992	0.822	0	Alveolar macrophages	S100A6
COLGALT1	0	0.684207154666659	0.782	0.133	0	Alveolar macrophages	COLGALT1
SLCO2B1	0	0.681744824658683	0.723	0.082	0	Alveolar macrophages	SLCO2B1
COMT	0	0.67793901041208	0.894	0.36	0	Alveolar macrophages	COMT
PNPLA6	0	0.676675933881234	0.688	0.082	0	Alveolar macrophages	PNPLA6
BRI3	0	0.673033491105204	0.929	0.464	0	Alveolar macrophages	BRI3
TMBIM1	0	0.672820574050816	0.864	0.331	0	Alveolar macrophages	TMBIM1
RTN4	0	0.671431501356954	0.972	0.704	0	Alveolar macrophages	RTN4
PFN1	0	0.669253975724452	0.996	0.836	0	Alveolar macrophages	PFN1
B2M	0	0.667108802782701	1	0.998	0	Alveolar macrophages	B2M
ACTB	0	0.665924636383416	1	0.993	0	Alveolar macrophages	ACTB
ADA2	0	0.665855478030349	0.8	0.183	0	Alveolar macrophages	ADA2
VAT1	0	0.66265787460602	0.769	0.132	0	Alveolar macrophages	VAT1
FCGRT	0	0.65854259612106	0.882	0.294	0	Alveolar macrophages	FCGRT
CORO1C	0	0.656698329691414	0.741	0.107	0	Alveolar macrophages	CORO1C
CCL20	0	0.654816964079162	0.317	0.112	0	Alveolar macrophages	CCL20
COTL1	0	0.654329588800869	0.93	0.338	0	Alveolar macrophages	COTL1
CSTA	0	0.647483731426362	0.677	0.071	0	Alveolar macrophages	CSTA
OASL	0	0.644610533781045	0.63	0.071	0	Alveolar macrophages	OASL
FAM89A	0	0.63979657738721	0.641	0.042	0	Alveolar macrophages	FAM89A
ARL6IP1	0	0.639720048767358	0.915	0.562	0	Alveolar macrophages	ARL6IP1
HCK	0	0.635730039862274	0.724	0.101	0	Alveolar macrophages	HCK
GLRX	0	0.633545921816906	0.726	0.126	0	Alveolar macrophages	GLRX
PKM	0	0.632944676123715	0.937	0.481	0	Alveolar macrophages	PKM
PGD	0	0.632418019913654	0.746	0.142	0	Alveolar macrophages	PGD
ABCG1	0	0.63177806284555	0.713	0.149	0	Alveolar macrophages	ABCG1
ATP6V1F	0	0.629240577267688	0.804	0.224	0	Alveolar macrophages	ATP6V1F
LCP1	0	0.622839419979626	0.974	0.609	0	Alveolar macrophages	LCP1
GRB2	0	0.62202989049173	0.919	0.419	0	Alveolar macrophages	GRB2
SPN	0	0.620379112796807	0.84	0.233	0	Alveolar macrophages	SPN
NOP10	0	0.619065868261063	0.787	0.205	0	Alveolar macrophages	NOP10
PPT1	0	0.61373127005927	0.771	0.172	0	Alveolar macrophages	PPT1
ADM	0	0.612471760628085	0.483	0.14	0	Alveolar macrophages	ADM
GPD1	0	0.611973477282454	0.545	0.016	0	Alveolar macrophages	GPD1
LPXN	0	0.610896512066464	0.759	0.152	0	Alveolar macrophages	LPXN
LAMP1	0	0.609596854174101	0.964	0.626	0	Alveolar macrophages	LAMP1
ACTN1	0	0.606049618390371	0.735	0.133	0	Alveolar macrophages	ACTN1
ATP6V0B	0	0.601832205833654	0.886	0.362	0	Alveolar macrophages	ATP6V0B
TIMP2	0	0.600318006402221	0.885	0.23	0	Alveolar macrophages	TIMP2
TCF7L2	0	0.599691528890024	0.681	0.118	0	Alveolar macrophages	TCF7L2
GCHFR	0	0.599637083276055	0.553	0.051	0	Alveolar macrophages	GCHFR
NCEH1	0	0.598379660779658	0.646	0.08	0	Alveolar macrophages	NCEH1
PCOLCE2	0	0.596355176863214	0.537	0.031	0	Alveolar macrophages	PCOLCE2
TNFAIP2	0	0.595416771932215	0.762	0.172	0	Alveolar macrophages	TNFAIP2
TGFBI	0	0.594635095206537	0.711	0.133	0	Alveolar macrophages	TGFBI
TPP1	0	0.593797099476243	0.902	0.394	0	Alveolar macrophages	TPP1
ATP6V1B2	0	0.589399055378129	0.765	0.194	0	Alveolar macrophages	ATP6V1B2
VASP	0	0.583732589099817	0.863	0.31	0	Alveolar macrophages	VASP
YWHAH	0	0.583312729355413	0.788	0.229	0	Alveolar macrophages	YWHAH
SIGLEC1	0	0.583235140246667	0.563	0.039	0	Alveolar macrophages	SIGLEC1
ADAM17	0	0.582939229597902	0.745	0.172	0	Alveolar macrophages	ADAM17
ARPC3	0	0.579748913410328	0.974	0.607	0	Alveolar macrophages	ARPC3
SEPT11	0	0.578235075812692	0.716	0.143	0	Alveolar macrophages	SEPT11
GM2A	0	0.573338279239984	0.641	0.097	0	Alveolar macrophages	GM2A
IGSF6	0	0.569671862801914	0.617	0.104	0	Alveolar macrophages	IGSF6
FCGR1A	0	0.568299070172655	0.591	0.035	0	Alveolar macrophages	FCGR1A
CD9	0	0.567997381442688	0.909	0.565	0	Alveolar macrophages	CD9
IFIT3	0	0.567095299151224	0.561	0.076	0	Alveolar macrophages	IFIT3
IFI27	0	0.556508202391449	0.278	0.118	0	Alveolar macrophages	IFI27
BCAP31	0	0.554115924862836	0.858	0.358	0	Alveolar macrophages	BCAP31
MX1	0	0.550970350073846	0.536	0.092	0	Alveolar macrophages	MX1
RMDN3	0	0.550201866393323	0.583	0.086	0	Alveolar macrophages	RMDN3
HLA-DMB	0	0.546865627898788	0.749	0.163	0	Alveolar macrophages	HLA-DMB
ARPC2	0	0.545298748722728	0.988	0.802	0	Alveolar macrophages	ARPC2
GSN	0	0.543165921773185	0.887	0.439	0	Alveolar macrophages	GSN
YBX1	0	0.542510385553082	0.979	0.779	0	Alveolar macrophages	YBX1
HLA-DMA	0	0.541952000272393	0.85	0.285	0	Alveolar macrophages	HLA-DMA
TXN	0	0.540766284841946	0.886	0.458	0	Alveolar macrophages	TXN
SIDT2	0	0.540506322972572	0.601	0.077	0	Alveolar macrophages	SIDT2
PRDX1	0	0.538465032934553	0.95	0.583	0	Alveolar macrophages	PRDX1
HLA-B	0	0.538246376378961	1	0.984	0	Alveolar macrophages	HLA-B
SIRPA	0	0.535743356057809	0.63	0.069	0	Alveolar macrophages	SIRPA
RHBDD2	0	0.532681467205052	0.741	0.223	0	Alveolar macrophages	RHBDD2
GAA	0	0.526183576701329	0.618	0.084	0	Alveolar macrophages	GAA
FKBP1A	0	0.526035056081251	0.911	0.464	0	Alveolar macrophages	FKBP1A
PDLIM1	0	0.52546856393438	0.753	0.275	0	Alveolar macrophages	PDLIM1
MMP19	0	0.522798623988304	0.425	0.046	0	Alveolar macrophages	MMP19
ASAH1	0	0.51942554099194	0.939	0.583	0	Alveolar macrophages	ASAH1
RGCC	0	0.511654503527035	0.944	0.572	0	Alveolar macrophages	RGCC
AMIGO2	0	0.510754340115106	0.526	0.05	0	Alveolar macrophages	AMIGO2
SLC31A2	0	0.510167785603188	0.614	0.091	0	Alveolar macrophages	SLC31A2
SERF2	0	0.508288127959603	0.981	0.787	0	Alveolar macrophages	SERF2
AXL	0	0.507254629031284	0.553	0.083	0	Alveolar macrophages	AXL
ATP5MC3	0	0.506171059016321	0.838	0.362	0	Alveolar macrophages	ATP5MC3
LRPAP1	0	0.501077006675395	0.689	0.158	0	Alveolar macrophages	LRPAP1
STXBP2	0	0.500708516626893	0.519	0.089	0	Alveolar macrophages	STXBP2
LAMP2	0	0.493371234500655	0.737	0.212	0	Alveolar macrophages	LAMP2
GPCPD1	0	0.491341215291728	0.708	0.201	0	Alveolar macrophages	GPCPD1
HCAR2	0	0.489564083792326	0.571	0.088	0	Alveolar macrophages	HCAR2
SH3BGRL	0	0.488929398122601	0.774	0.253	0	Alveolar macrophages	SH3BGRL
SLC31A1	0	0.488378974620586	0.6	0.094	0	Alveolar macrophages	SLC31A1
DNAJA4	0	0.483769245085513	0.573	0.334	0	Alveolar macrophages	DNAJA4
ATP6V0D1	0	0.483554019900151	0.815	0.333	0	Alveolar macrophages	ATP6V0D1
PLXDC2	0	0.482943293868634	0.614	0.117	0	Alveolar macrophages	PLXDC2
GGA2	0	0.48071443787791	0.629	0.13	0	Alveolar macrophages	GGA2
AC026369.3	0	0.4804262080765	0.466	0.019	0	Alveolar macrophages	AC026369.3
LAIR1	0	0.475540937997479	0.632	0.123	0	Alveolar macrophages	LAIR1
STAC	0	0.47450612388454	0.499	0.019	0	Alveolar macrophages	STAC
LST1	0	0.474372302429213	0.605	0.102	0	Alveolar macrophages	LST1
OPN3	0	0.474003024937902	0.542	0.071	0	Alveolar macrophages	OPN3
VAMP8	0	0.473906589635083	0.923	0.525	0	Alveolar macrophages	VAMP8
LAMTOR1	0	0.473144645736594	0.645	0.16	0	Alveolar macrophages	LAMTOR1
RAB31	0	0.472763588603677	0.716	0.2	0	Alveolar macrophages	RAB31
SNX2	0	0.472689345186437	0.596	0.126	0	Alveolar macrophages	SNX2
RAC1	0	0.472309089150042	0.981	0.75	0	Alveolar macrophages	RAC1
DNASE2	0	0.469703912359304	0.579	0.099	0	Alveolar macrophages	DNASE2
AKR1C3	0	0.468729349764583	0.455	0.074	0	Alveolar macrophages	AKR1C3
ARRDC4	0	0.463136607199648	0.446	0.048	0	Alveolar macrophages	ARRDC4
CCR1	0	0.45908469151032	0.456	0.051	0	Alveolar macrophages	CCR1
CD4	0	0.458925716788029	0.725	0.217	0	Alveolar macrophages	CD4
CEBPB	0	0.458427409065871	0.946	0.658	0	Alveolar macrophages	CEBPB
TAGLN2	0	0.458320215513042	0.99	0.871	0	Alveolar macrophages	TAGLN2
PECAM1	0	0.457871573685509	0.787	0.174	0	Alveolar macrophages	PECAM1
LINC02154	0	0.45766790890592	0.283	0.011	0	Alveolar macrophages	LINC02154
MYD88	0	0.457515021531684	0.63	0.127	0	Alveolar macrophages	MYD88
CAP1	0	0.455023216931782	0.905	0.525	0	Alveolar macrophages	CAP1
DECR1	0	0.452420283311694	0.632	0.147	0	Alveolar macrophages	DECR1
SMCO4	0	0.450131112951156	0.525	0.062	0	Alveolar macrophages	SMCO4
ADTRP	0	0.449982083504092	0.433	0.016	0	Alveolar macrophages	ADTRP
MNDA	0	0.449980222960662	0.577	0.094	0	Alveolar macrophages	MNDA
ARPC5	0	0.449034232106008	0.799	0.343	0	Alveolar macrophages	ARPC5
TRIM14	0	0.448336747063205	0.539	0.088	0	Alveolar macrophages	TRIM14
MDH1	0	0.44815981985727	0.68	0.197	0	Alveolar macrophages	MDH1
MAFB	0	0.446898981117788	0.576	0.211	0	Alveolar macrophages	MAFB
COLEC12	0	0.446890461966448	0.519	0.122	0	Alveolar macrophages	COLEC12
GBP1	0	0.44535869044092	0.511	0.12	0	Alveolar macrophages	GBP1
RAB7A	0	0.444985057711314	0.956	0.628	0	Alveolar macrophages	RAB7A
GLDN	0	0.442882732499413	0.424	0.021	0	Alveolar macrophages	GLDN
OSBPL11	0	0.442428923216221	0.559	0.111	0	Alveolar macrophages	OSBPL11
PTAFR	0	0.441057252502941	0.515	0.077	0	Alveolar macrophages	PTAFR
NUCB1	0	0.438388014500032	0.712	0.228	0	Alveolar macrophages	NUCB1
ACER3	0	0.438361396214276	0.551	0.092	0	Alveolar macrophages	ACER3
AOC3	0	0.434358813050401	0.375	0.038	0	Alveolar macrophages	AOC3
FCGR2A	0	0.434050325290363	0.648	0.135	0	Alveolar macrophages	FCGR2A
H2AFY	0	0.433222160748857	0.883	0.455	0	Alveolar macrophages	H2AFY
RTN3	0	0.43022785882707	0.853	0.394	0	Alveolar macrophages	RTN3
THEMIS2	0	0.430154480440826	0.627	0.132	0	Alveolar macrophages	THEMIS2
FLNA	0	0.429747449848753	0.879	0.422	0	Alveolar macrophages	FLNA
FKBP15	0	0.429173013953304	0.54	0.086	0	Alveolar macrophages	FKBP15
NCKAP1L	0	0.428395493451235	0.64	0.152	0	Alveolar macrophages	NCKAP1L
TRPV2	0	0.427132217195367	0.528	0.067	0	Alveolar macrophages	TRPV2
SELPLG	0	0.426459294718615	0.6	0.143	0	Alveolar macrophages	SELPLG
RNH1	0	0.42597735829812	0.744	0.261	0	Alveolar macrophages	RNH1
FLVCR2	0	0.424141349665281	0.469	0.038	0	Alveolar macrophages	FLVCR2
ABL2	0	0.42277400828659	0.399	0.123	0	Alveolar macrophages	ABL2
RHOA	0	0.422397284000792	0.982	0.844	0	Alveolar macrophages	RHOA
SLFN11	0	0.42215883058909	0.548	0.109	0	Alveolar macrophages	SLFN11
PSMA7	0	0.421434114151683	0.786	0.335	0	Alveolar macrophages	PSMA7
GPA33	0	0.417197082545037	0.414	0.018	0	Alveolar macrophages	GPA33
CLEC12A	0	0.416578275630769	0.493	0.066	0	Alveolar macrophages	CLEC12A
FFAR4	0	0.416019802651248	0.428	0.015	0	Alveolar macrophages	FFAR4
FABP5	0	0.415148942702573	0.868	0.398	0	Alveolar macrophages	FABP5
ACO1	0	0.413452834374922	0.458	0.056	0	Alveolar macrophages	ACO1
RNF130	0	0.411668629122919	0.753	0.274	0	Alveolar macrophages	RNF130
TALDO1	0	0.409890331655958	0.652	0.195	0	Alveolar macrophages	TALDO1
IFIT2	0	0.40573882414729	0.399	0.079	0	Alveolar macrophages	IFIT2
CD300LF	0	0.404898285528863	0.463	0.04	0	Alveolar macrophages	CD300LF
SIGLEC12	0	0.40374115585682	0.399	0.025	0	Alveolar macrophages	SIGLEC12
B3GNT5	0	0.403120975279583	0.468	0.161	0	Alveolar macrophages	B3GNT5
HNMT	0	0.401471872328655	0.543	0.109	0	Alveolar macrophages	HNMT
TKT	0	0.400548422643317	0.758	0.311	0	Alveolar macrophages	TKT
QSOX1	0	0.399683582713119	0.616	0.227	0	Alveolar macrophages	QSOX1
MINK1	0	0.398380452739882	0.519	0.1	0	Alveolar macrophages	MINK1
TMSB10	0	0.395767597227064	0.994	0.822	0	Alveolar macrophages	TMSB10
M6PR	0	0.395502437554291	0.717	0.261	0	Alveolar macrophages	M6PR
UBASH3B	0	0.394116209426146	0.442	0.045	0	Alveolar macrophages	UBASH3B
FGR	0	0.392007269374926	0.699	0.189	0	Alveolar macrophages	FGR
MFSD1	0	0.391078371937932	0.691	0.212	0	Alveolar macrophages	MFSD1
CASP1	0	0.389916123598407	0.548	0.116	0	Alveolar macrophages	CASP1
CXCL3	0	0.389625313442915	0.496	0.248	0	Alveolar macrophages	CXCL3
CA2	0	0.389504123363707	0.382	0.112	0	Alveolar macrophages	CA2
ABHD5	0	0.388499168148061	0.584	0.164	0	Alveolar macrophages	ABHD5
JAML	0	0.388477729938638	0.566	0.124	0	Alveolar macrophages	JAML
BLOC1S2	0	0.38697053704565	0.54	0.12	0	Alveolar macrophages	BLOC1S2
FMNL2	0	0.386673296157181	0.48	0.081	0	Alveolar macrophages	FMNL2
AQP3	0	0.386541172316812	0.671	0.259	0	Alveolar macrophages	AQP3
SYNGR2	0	0.386111244226628	0.721	0.269	0	Alveolar macrophages	SYNGR2
HAVCR2	0	0.385252692651706	0.505	0.096	0	Alveolar macrophages	HAVCR2
MYL12A	0	0.38480812220036	0.952	0.681	0	Alveolar macrophages	MYL12A
ATP6V1E1	0	0.384605831068455	0.666	0.217	0	Alveolar macrophages	ATP6V1E1
CARD16	0	0.38459644908555	0.562	0.125	0	Alveolar macrophages	CARD16
OAS1	0	0.383477671014553	0.436	0.05	0	Alveolar macrophages	OAS1
TGOLN2	0	0.383255843541727	0.84	0.454	0	Alveolar macrophages	TGOLN2
ZYX	0	0.382716769970351	0.681	0.211	0	Alveolar macrophages	ZYX
FHL1	0	0.382462490505081	0.498	0.091	0	Alveolar macrophages	FHL1
ACTG1	0	0.382423761055823	0.997	0.975	0	Alveolar macrophages	ACTG1
CD86	0	0.381419766057709	0.517	0.092	0	Alveolar macrophages	CD86
LGALS1	0	0.380635379288789	0.654	0.238	0	Alveolar macrophages	LGALS1
HLA-A	0	0.379535885319182	1	0.972	0	Alveolar macrophages	HLA-A
ITGAX	0	0.377763460296785	0.513	0.124	0	Alveolar macrophages	ITGAX
LY86	0	0.377710896107501	0.437	0.053	0	Alveolar macrophages	LY86
MIR3945HG	0	0.376941647248227	0.376	0.053	0	Alveolar macrophages	MIR3945HG
GMFG	0	0.375377756169186	0.7	0.212	0	Alveolar macrophages	GMFG
KYNU	0	0.375250659367835	0.472	0.077	0	Alveolar macrophages	KYNU
STX12	0	0.375019257342027	0.541	0.133	0	Alveolar macrophages	STX12
KLF4	0	0.374729406665267	0.822	0.519	0	Alveolar macrophages	KLF4
SORT1	0	0.373589582299388	0.513	0.118	0	Alveolar macrophages	SORT1
SLC7A8	0	0.371849049728204	0.436	0.074	0	Alveolar macrophages	SLC7A8
CLEC7A	0	0.370506221260124	0.572	0.12	0	Alveolar macrophages	CLEC7A
MTPN	0	0.370416095437912	0.777	0.357	0	Alveolar macrophages	MTPN
SLC16A3	0	0.369324024890652	0.531	0.124	0	Alveolar macrophages	SLC16A3
HP	0	0.369017086433465	0.293	0.032	0	Alveolar macrophages	HP
KCNAB2	0	0.368525761061561	0.602	0.161	0	Alveolar macrophages	KCNAB2
PLD3	0	0.368234124273042	0.508	0.209	0	Alveolar macrophages	PLD3
YWHAB	0	0.367769203408958	0.967	0.78	0	Alveolar macrophages	YWHAB
GLB1	0	0.366980692734054	0.492	0.094	0	Alveolar macrophages	GLB1
CPVL	0	0.366670382971429	0.559	0.1	0	Alveolar macrophages	CPVL
YWHAG	0	0.366236451486169	0.641	0.221	0	Alveolar macrophages	YWHAG
JPT1	0	0.366044941351515	0.573	0.177	0	Alveolar macrophages	JPT1
C20orf27	0	0.364857584827963	0.43	0.054	0	Alveolar macrophages	C20orf27
EMILIN2	0	0.363375006564162	0.491	0.107	0	Alveolar macrophages	EMILIN2
